strategy_name,total_return,annual_return,n_days,n_trades,avg_turnover,avg_positions,annual_vol,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,sharpe_ci_lower,sharpe_ci_upper,sharpe_tstat,sharpe_pvalue,sharpe_significant,win_rate,avg_win,avg_loss,win_loss_ratio,mean_ic,icir,ic_significant,total_cost,avg_daily_cost,cost_drag_annual
Equal_Weight,2.8072790918185135,0.2495945401479649,1512.0,1.0,0.0006613756613756613,30.0,0.26068455622043163,0.957458100958274,1.281904625037261,-0.3239354291105043,0.7705070755407262,0.1561779465096621,1.758738255406886,2.3420246557455076,0.009589723926658597,True,0.5548941798941799,0.01138060614042475,-0.01189672822306039,0.9566164685820763,-0.0012747327493508177,-0.005704168772502679,False,0.0005,3.306878306878307e-07,8.333333333333333e-05
BuyHold_SPY,1.3038838096341898,0.1492383117062721,1512.0,0.0,0.0,1.0,0.2016875492250765,0.7399480646161612,0.9050442420111584,-0.3371725495146517,0.4426170277535806,-0.06088556904221276,1.5407816982745353,1.8109856350842974,0.03507153765941634,True,0.5502645502645502,0.008257141321071105,-0.008720592125474203,0.9468555807065799,,,,0.0,0.0,0.0
Baseline_P50,1.8594785527375133,0.1913731474802527,1512.0,755.0,0.2612246491707521,24.063492063492063,0.26375455020955035,0.7255728757217975,0.9664736421572466,-0.35893817208167167,0.5331646572176454,-0.07531198955519713,1.5264577409987923,1.7756894880550234,0.03789205548106588,True,0.5535714285714286,0.011290268394383752,-0.012133102230098175,0.9305343497705283,-0.0012747327493508177,-0.005704168772502679,False,0.19748583477308862,0.00013061232458537608,0.03291430579551477
Momentum_Top1,3.0719781995491697,0.2636716451634311,1512.0,407.0,0.5376984126984127,1.0,0.46122079311083475,0.5716820427479489,0.7928739303711392,-0.6267774687128846,0.4206782443933292,-0.22897648269099113,1.372340568186889,1.3994690222922397,0.08083619073348164,False,0.5092592592592593,0.02050681100306295,-0.018576332126960998,1.1039214233955328,-0.0012747327493508177,-0.005704168772502679,False,0.40650000000000003,0.00026884920634920637,0.06775
TopK3,0.6118532770440581,0.0828149694869098,1512.0,1348.0,1.0033068783068781,3.0,0.27513696903981827,0.3009954270264738,0.3934356734454028,-0.38938445326129056,0.2126817565346865,-0.49937589934612175,1.1013667533990694,0.7370966669253837,0.23053178297309423,False,0.5324074074074074,0.011652041620509538,-0.012269304611425749,0.9496904665370044,-0.0012747327493508177,-0.005704168772502679,False,0.7585,0.0005016534391534391,0.12641666666666665
TopK2,0.508719363783948,0.07094724361371396,1512.0,1232.0,1.1025132275132274,2.0,0.28252580070025574,0.2511177507960948,0.33694413326911704,-0.426290628375088,0.1664292829615957,-0.5492115732888982,1.0514470748810878,0.6149853276000622,0.26928220508885703,False,0.5297619047619048,0.012030014211630451,-0.012636837510484882,0.9519798131177247,-0.0012747327493508177,-0.005704168772502679,False,0.8335,0.0005512566137566138,0.13891666666666666
TopK1_Trend,0.22945099710870998,0.035027456434526316,1512.0,883.0,1.1673280423280423,1.0,0.30314439191418246,0.11554710352168508,0.15847314481731722,-0.49015431386782016,0.07146209967657688,-0.6846965563779309,0.9157907634213011,0.2830042076570927,0.38858680578124394,False,0.5046296296296297,0.013371739818464071,-0.01299452086817837,1.0290290772635915,-0.0012747327493508177,-0.005704168772502679,False,0.8825000000000001,0.0005836640211640212,0.14708333333333334
TopK1,-0.17015083273635478,-0.030607042256480477,1512.0,941.0,1.244047619047619,1.0,0.32773542791981825,-0.09338948325101004,-0.1288872238257859,-0.6576891436820389,-0.04653724719421173,-0.8935611003339023,0.7067821338318823,-0.2287551610981693,0.5904703905244484,False,0.5006613756613757,0.01400736265004868,-0.013883659711819261,1.0089099661614516,-0.0012747327493508177,-0.005704168772502679,False,0.9405000000000001,0.0006220238095238096,0.15675000000000003
Random_Top1,-0.09522255595881488,-0.05165255126393392,1512.0,1460.35,1.9310185185185187,1.0,0.3856933486047393,-0.13490246171295545,-0.17478750994816267,-0.6694272571383189,-0.05362537244559311,-0.9351758292973433,0.6653709058714324,-0.33038467973194124,0.6016839413219569,0.0,0.5001521164021164,0.01623149000855638,-0.01613689791304319,1.0072237531662926,-0.001274732749350818,-0.00570416877250268,0.0,1.45985,0.0009655092592592594,0.2433083333333334
Threshold_P60,-0.22365061895065586,-0.04131440490532168,1512.0,124.0,0.08697089947089948,0.06944444444444445,0.0834312525200722,-0.49519099447035275,-0.16632172205159435,-0.24308201296800835,-0.16996076509683586,-1.2955423556362018,0.3051603666954963,-1.2126853232911148,0.8873749233710924,False,0.021825396825396824,0.014204578832208794,-0.007295367096274153,1.9470684127003386,-0.0012747327493508177,-0.005704168772502679,False,0.06575,4.3485449735449736e-05,0.010958333333333334
