ticker,n_rows,missing_values,duplicate_dates,max_stale_days,extreme_returns_50pct,zero_volume_days,high_lt_low,pass
ASIANPAINT,2467,0,0,2,0,0,0,True
AXISBANK,2467,0,0,2,0,0,0,True
BAJFINANCE,2467,0,0,2,0,0,0,True
HDFCBANK,2467,0,0,2,0,0,0,True
HINDUNILVR,2467,0,0,0,0,0,0,True
ICICIBANK,2467,0,0,2,0,0,0,True
INFY,2467,0,0,2,0,0,0,True
ITC,2467,0,0,2,0,0,0,True
KOTAKBANK,2467,0,0,2,0,0,0,True
LT,2467,0,0,0,0,0,0,True
MARUTI,2467,0,0,2,0,1,0,True
NESTLEIND,2467,0,0,2,0,0,0,True
NTPC,2467,0,0,2,0,0,0,True
POWERGRID,2467,0,0,2,0,0,0,True
RELIANCE,2467,0,0,2,0,0,0,True
SUNPHARMA,2467,0,0,2,0,0,0,True
TCS,2467,0,0,2,0,0,0,True
TITAN,2467,0,0,2,0,0,0,True
ULTRACEMCO,2467,0,0,2,0,0,0,True
WIPRO,2467,0,0,3,0,0,0,True
