fold,n_days,mean_ic,ic_std,ece
1,126,-0.012881712816050968,0.23007086249256214,0.018458227725613018
2,126,-0.006410747698513738,0.25760197139461016,0.02139419897320269
3,126,0.01765213065034318,0.22800713811317627,0.020656996772198077
4,126,0.018486009362017202,0.2511196309721206,0.04480721075228341
5,126,0.020754297877208984,0.23798359029639599,0.0226007867777595
6,126,-0.008925418983336987,0.255993102810328,0.03199284198039423
7,126,0.014141169320081986,0.23554345439485244,0.024369229237478186
8,95,0.03650325151459523,0.21671719467724657,0.03893616247607567
9,126,0.005980739704097591,0.23132428697662608,0.0021879873726405917
10,126,0.021167994204027245,0.24991858968579625,0.015567752263308888
11,126,0.02456937725054112,0.24724019791267676,0.012325518918892785
